,   I,ID,      PG,        QG,        QT,        QB,     VS,    IREG,     MBASE,     ZR,         ZX,         RT,         XT,     GTAP,STAT, RMPCT,      PT,        PB,    O1,    F1,  O2,    F2,  O3,    F3,  O4,    F4,WMOD, WPF,NREG,Bus  Number,Bus  Name,Lat,Long,geohash
94,4132,H,3835.801,52.261,2847.0,-2847,1.096,4102,5539.0,0.0,0.2,0.0,0.0,1,1,100,5539.0,0,1,1,,,,,,,,,,4132,HANFORD,46.669392,-119.573343,c26crp
95,4132,N,900.0,52.261,231.0,-231,1.096,4102,1200.0,0.0,0.2,0.0,0.0,1,1,100,1200.0,0,1,1,,,,,,,,,,4132,HANFORD,46.669392,-119.573343,c26crp
96,4132,W,270.0,52.261,160.0,-160,1.096,4102,400.0,0.0,0.2,0.0,0.0,1,1,100,300.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,4132,HANFORD,46.669392,-119.573343,c26crp
97,4231,C,999.0,485.229,728.0,-728,1.12,4201,1460.0,0.0,0.2,0.0,0.0,1,1,100,1460.0,0,1,1,,,,,,,,,,4231,NORTH G3,48.22276,-121.837459,c2967d
98,4231,G,664.2,485.229,659.0,-659,1.12,4201,970.0,0.0,0.2,0.0,0.0,1,1,100,970.0,0,1,1,,,,,,,,,,4231,NORTH G3,48.22276,-121.837459,c2967d
99,4231,H,2406.601,485.229,1808.0,-1808,1.12,4201,3517.0,0.0,0.2,0.0,0.0,1,1,100,3517.0,0,1,1,,,,,,,,,,4231,NORTH G3,48.22276,-121.837459,c2967d
100,4232,G,348.3,-3.607,592.0,-592,1.06,4202,872.0,0.0,0.2,0.0,0.0,1,1,100,872.0,0,1,1,,,,,,,,,,4232,WCASCADE,47.065363,-121.779859,c237sz
101,4232,H,222.3,-3.607,287.0,-287,1.06,4202,558.0,0.0,0.2,0.0,0.0,1,1,100,558.0,0,1,1,,,,,,,,,,4232,WCASCADE,47.065363,-121.779859,c237sz
102,4232,W,316.8,-3.607,108.0,-108,1.06,4202,695.0,0.0,0.2,0.0,0.0,1,1,100,695.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,4232,WCASCADE,47.065363,-121.779859,c237sz
103,5031,G,821.7,534.329,605.0,-605,1.05,5001,2650.0,0.0,0.2,0.0,0.0,1,1,100,2650.0,0,1,1,,,,,,,,,,5031,CANAD G1,49.429986,-122.303722,c2c10y
104,5031,H,5976.0,534.329,4399.0,-4399,1.05,5001,10747.0,0.0,0.2,0.0,0.0,1,1,100,10747.0,0,1,1,,,,,,,,,,5031,CANAD G1,49.429986,-122.303722,c2c10y
105,5032,C,3646.8,410.28,2977.0,-2977,1.055,5002,13039.0,0.0,0.2,0.0,0.0,1,1,100,13039.0,0,1,1,,,,,,,,,,5032,CMAIN GM,49.429986,-122.303722,c2c10y
106,5032,G,2695.5,410.28,2200.0,-2200,1.055,5002,9636.0,0.0,0.2,0.0,0.0,1,1,100,9636.0,0,1,1,,,,,,,,,,5032,CMAIN GM,49.429986,-122.303722,c2c10y
107,5032,R,66.6,54.0,54.0,-54,1.055,5002,108.0,0.0,0.2,0.0,0.0,1,1,100,108.0,0,1,1,,,,,,,,,,5032,CMAIN GM,49.429986,-122.303722,c2c10y
108,5032,S,2701.8,410.28,2205.0,-2205,1.055,5002,4410.2,0.0,0.2,0.0,0.0,1,1,100,4410.2,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,5032,CMAIN GM,49.429986,-122.303722,c2c10y
109,5032,W,331.2,271.0,271.0,-271,1.055,5002,541.0,0.0,0.2,0.0,0.0,1,1,100,541.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,5032,CMAIN GM,49.429986,-122.303722,c2c10y
110,6132,B,45.0,-20.0,20.0,-20,1.03,6102,122.0,0.0,0.2,0.0,0.0,1,1,100,122.0,0,1,1,,,,,,,,,,6132,MIDPOINT,42.888986,-114.199277,9rwgcr
111,6132,G,1043.1,-147.0,147.0,-147,1.03,6102,1272.0,0.0,0.2,0.0,0.0,1,1,100,1272.0,0,1,1,,,,,,,,,,6132,MIDPOINT,42.888986,-114.199277,9rwgcr
112,6132,H,1992.599,-387.445,1072.0,-1072,1.03,6102,2541.0,0.0,0.2,0.0,0.0,1,1,100,2541.0,0,1,1,,,,,,,,,,6132,MIDPOINT,42.888986,-114.199277,9rwgcr
113,6132,S,180.0,-75.0,75.0,-75,1.03,6102,395.0,0.0,0.2,0.0,0.0,1,1,100,395.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,6132,MIDPOINT,42.888986,-114.199277,9rwgcr
114,6132,W,503.1,-210.0,210.0,-210,1.03,6102,973.0,0.0,0.2,0.0,0.0,1,1,100,973.0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,6132,MIDPOINT,42.888986,-114.199277,9rwgcr
115,6231,C,705.15,-104.087,1256.0,-1256,1.06,6201,2488.0,0.0,0.2,0.0,0.0,1,1,100,2488.0,0,1,1,,,,,,,,,,6231,COLSTRP,45.689474,-106.552322,c8h5zm
116,6231,G,225.0,-70.0,70.0,-70,1.06,6201,250.0,0.0,0.2,0.0,0.0,1,1,100,250.0,0,1,1,,,,,,,,,,6231,COLSTRP,45.689474,-106.552322,c8h5zm
117,6235,G,90.0,49.769,64.0,-64,1.05,6205,226.0,0.0,0.2,0.0,0.0,1,1,100,226.0,0,1,1,,,,,,,,,,6235,MONTA G1,47.432975,-111.260716,c82vu4
